Essai,Haut 0.2,Haut 0.5,Haut 0.8,Bas 0.2,Bas 0.5,Bas 0.8,Gauche 0.2,Gauche 0.5,Gauche 0.8,Droite 0.2,Droite 0.5,Droite 0.8
essai0,0.0,1.0,2.0,-1.0,0.0,2.0,-1.0,0.0,-2.0,1.0,0.0,2.0
essai1,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
essai2,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-2.0,0.0
essai3,1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,0.0
essai4,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
essai5,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-4.0,-2.0
essai6,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,-6.0,0.0,0.0,0.0,-2.0
essai7,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0
essai8,-17.0,0.0,-1.0,0.0,1.0,1.0,-227.0,-1.0,-1.0,1.0,-3.0,0.0
essai9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
