Essai,Haut 0.2,Haut 0.5,Haut 0.8,Bas 0.2,Bas 0.5,Bas 0.8,Gauche 0.2,Gauche 0.5,Gauche 0.8,Droite 0.2,Droite 0.5,Droite 0.8
essai0,0.4774545000400394,0.43663799995556474,0.3906849999912083,0.47027119994163513,0.38940889993682504,0.3561937001068145,0.44099170016124845,0.42427209997549653,0.39771900000050664,0.46352919982746243,0.3535456999670714,0.4563662998843938
essai1,0.4289237998891622,0.4771269001066685,0.3397834999486804,0.33427030011080205,0.6235710000619292,0.3735334000084549,0.4493944998830557,0.3540495000779629,0.3442360998596996,0.3533431999385357,0.38561920006759465,0.37436549994163215
essai2,0.3634442000184208,0.3978549998719245,0.3277040000539273,0.379335000179708,0.33868429996073246,0.30604079994373024,0.47513719997368753,0.3776842001825571,0.3734604998026043,0.3965358000714332,0.3550104999449104,0.389929800061509
essai3,0.44673249986954033,0.3198788999579847,0.3584035001695156,0.4459756000433117,0.33719469979405403,0.3219663999043405,0.3727113998029381,0.3567512999288738,0.36070570000447333,0.4634287999942899,0.37284009996801615,0.4368609001394361
essai4,0.42472170013934374,0.4258443000726402,0.3911677000578493,0.3817286000121385,0.38736049993894994,0.29235180001705885,0.4310449999757111,0.3784437000285834,0.3527319999411702,0.6045913998968899,0.33853990002535284,0.349584799958393
essai5,0.41530440002679825,0.3363709000404924,0.4076636000536382,0.3814757999498397,0.36467329994775355,0.2788243000395596,0.4167799998540431,0.32711399998515844,0.3048533999826759,0.3677660000976175,0.34034339990466833,0.4067829002160579
essai6,0.5059917999897152,0.3229612000286579,0.43590159993618727,0.36644789995625615,0.3663113000802696,0.3691688999533653,0.3951290000695735,0.3801719001494348,0.34525870019569993,0.4479656999465078,0.35246900003403425,0.3074416001327336
essai7,0.35102980001829565,0.37362810014747083,0.3433328999672085,0.3346727001480758,0.30501229991205037,0.3274509001057595,0.3997372998856008,0.28985219984315336,0.3129492001608014,0.39210189995355904,0.3893586997874081,0.35322159994393587
essai8,0.43259400012902915,0.2923283001873642,0.40586839988827705,0.3998049998190254,0.3711824999190867,0.3199803000316024,0.44215599982999265,0.2752395998686552,0.3294287999160588,0.4031797000207007,0.4166786000132561,0.36257939995266497
essai9,0.3641894001048058,0.340010300045833,0.3638927999418229,0.33409449993632734,0.3406569000799209,0.3333846000023186,0.3700961999129504,0.30855760001577437,0.5023268000222743,0.3672539000399411,0.32113380008377135,0.3630705000832677
