Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,65;0,68;0,68;0,67;0,73;0,77;0,70;0,65;0,67;0,63;0,72;0,60;[];[];[];[];[];[];[];[];[];[];[];[]
Essai1;0,60;0,62;0,62;0,63;0,63;0,63;0,63;0,72;0,65;0,65;0,60;0,60;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,57;0,63;0,63;0,65;0,58;0,63;0,60;0,73;0,62;0,60;0,65;0,60;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,58;0,57;0,63;0,67;0,60;0,75;0,62;0,58;0,62;0,63;0,60;0,60;[];[];[];[];[];[];[];[];[];[];[];[]
Essai4;0,68;0,57;0,63;0,63;0,60;0,60;0,63;0,63;0,63;0,60;0,63;0,60;[];[];[];[];[];[];[];[];[];[];[];[]
Essai5;0,58;0,60;0,72;0,67;0,62;0,63;0,65;0,65;0,63;0,58;0,60;0,62;[];[];[];[];[];[];[];[];[];[];[];[]
Essai6;0,67;0,62;0,58;0,85;0,58;0,58;0,60;0,62;0,63;0,68;0,68;0,58;[];[];[];[];[];[];[];[];[];[];[];[]
moy;0,62;0,61;0,64;0,68;0,62;0,66;0,63;0,65;0,64;0,63;0,64;0,60;;;;;;;;;;;;
ET;0,04;0,04;0,04;0,07;0,05;0,07;0,03;0,05;0,02;0,03;0,04;0,01;;;;;;;;;;;;
CV;0,07;0,06;0,06;0,10;0,08;0,10;0,05;0,08;0,03;0,05;0,07;0,01;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
