Essai;400;600;800;1000;1200;1400;
Essai0;0,19;0,62;0,82;1,17;1,52;1,30;
Essai1;0,29;0,43;1,06;0,86;1,06;1,44;
Essai2;0,14;0,99;1,12;0,93;1,36;1,07;
Essai3;0,29;0,98;1,12;1,06;1,34;1,44;
Essai4;0,16;1,23;0,74;1,23;1,30;0,82;
Essai5;0,37;0,58;0,85;0,93;0,75;0,94;
Essai6;0,27;0,27;0,73;0,72;0,51;1,31;
Essai7;0,24;0,56;0,54;0,91;0,93;1,04;
Essai8;0,19;0,46;0,48;0,85;1,14;1,04;
Essai9;0,22;0,54;0,58;0,66;0,94;1,27;
moy;0,24;0,67;0,80;0,93;1,08;1,17;
ET;0,06;0,28;0,22;0,17;0,29;0,20;
CV;0,27;0,43;0,28;0,18;0,27;0,17;
;;;;;;;
moy;0,82;;;;;;
CV;0,27;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
