Essai;-35/-7;-35/-4;-35/-2;-35/-1;-35/1;-35/2;-35/4;-35/7;-25/-7;-25/-4;-25/-2;-25/-1;-25/1;-25/2;-25/4;-25/7;-15/-7;-15/-4;-15/-2;-15/-1;-15/1;-15/2;-15/4;-15/7;-5/-7;-5/-4;-5/-2;-5/-1;-5/1;-5/2;-5/4;-5/7;5/-7;5/-4;5/-2;5/-1;5/1;5/2;5/4;5/7;15/-7;15/-4;15/-2;15/-1;15/1;15/2;15/4;15/7;25/-7;25/-4;25/-2;25/-1;25/1;25/2;25/4;25/7;35/-7;35/-4;35/-2;35/-1;35/1;35/2;35/4;35/7
Essai1;0;0;0;0;right;right;right;right;0;0;0;0;0;right;right;right;0;0;0;0;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;0;0;right;right;right;0;0;0;0;0;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right
Essai2;0;0;0;0;0;right;right;right;0;0;0;0;0;right;right;right;0;0;right;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;0;right;right;0;0;0;0;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;right;0;right;right;right
Essai3;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;right;0;right;right;right;0;0;right;0;right;right;right;right;0;0;0;0;right;0;right;right;0;0;0;0;right;right;right;right;0;0;right;0;right;right;right;right;0;0;right;right;right;right;right;right
Essai4;0;0;0;right;right;right;right;right;0;0;0;0;right;right;right;right;0;0;right;right;right;right;right;right;0;0;right;right;right;right;right;right;0;0;0;right;0;right;right;right;0;0;right;right;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;right;right;right;right;right
Essai5;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;right;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;right;0;0;right;right;right;0;0;0;right;right;right;right;right;0;0;right;right;right;right;right;right
Essai6;0;0;0;0;0;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;right;right;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;0;right;right;right;0;0;0;0;right;right;right;right;0;0;0;right;0;right;right;right
Essai7;0;0;0;0;right;right;right;right;0;right;0;0;0;right;right;right;0;0;0;right;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;0;right;right;right;right
Essai8;0;0;0;0;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;right;0;0;right;right;right;0;0;0;right;right;right;right;right;0;0;0;right;right;right;right;right
Essai9;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;right;right;right;right;right;0;0;0;0;0;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right
Essai10;0;0;0;right;right;right;right;right;0;0;0;0;right;0;right;right;0;0;right;right;0;right;right;right;0;0;right;right;right;right;right;right;0;0;0;0;0;right;right;right;0;0;0;0;right;right;right;right;0;0;0;0;right;right;right;right;0;0;right;0;right;right;right;right
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
left=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
