Essai;-35/-7;-35/-4;-35/-2;-35/-1;-35/1;-35/2;-35/4;-35/7;-25/-7;-25/-4;-25/-2;-25/-1;-25/1;-25/2;-25/4;-25/7;-15/-7;-15/-4;-15/-2;-15/-1;-15/1;-15/2;-15/4;-15/7;-5/-7;-5/-4;-5/-2;-5/-1;-5/1;-5/2;-5/4;-5/7;5/-7;5/-4;5/-2;5/-1;5/1;5/2;5/4;5/7;15/-7;15/-4;15/-2;15/-1;15/1;15/2;15/4;15/7;25/-7;25/-4;25/-2;25/-1;25/1;25/2;25/4;25/7;35/-7;35/-4;35/-2;35/-1;35/1;35/2;35/4;35/7
Essai1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1
Essai2;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1
Essai3;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1
Essai4;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1
Essai5;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1
Essai6;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;1
Essai7;0;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1
Essai8;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1
Essai9;0;0;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1
Essai10;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1
réponse;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1
moy;0;0,1;0,2;0,4;1;1;0,9;1;0;0,1;0,4;0,9;1;1;1;1;0;0,1;0,3;0,9;1;1;0,9;1;0;0,1;0,4;0,7;1;1;1;1;0;0;0;0;0,7;1;1;1;0;0;0;0;0,4;1;1;1;0;0;0;0;0,9;1;1;0,9;0;0;0,1;0,2;0,8;1;1;1
;0;0,1;0,2;0,4;0;0;0,1;0;0;0,1;0,4;0,9;0;0;0;0;0;0,1;0,3;0,9;0;0;0,1;0;0;0,1;0,4;0,7;0;0;0;0;0;0;0;0;0,3;0;0;0;0;0;0;0;0,6;0;0;0;0;0;0;0;0,1;0;0;0,1;0;0;0,1;0,2;0,2;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
right=1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
left=0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
