Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8
essai0;0,4878162;0,4997414;0,4042823;0,5099484;0,5775418;0,4546583;0,6260998;0,4363293;0,5027441;0,5112458;0,4671779;0,454005
essai1;0,512406;0,5306343;0,517193;0,4776795;0,4843719;0,578023;0,4333632;0,4823714;0,5034688;0,5267186;0,4499981;0,4236542
essai2;0,5111064;0,5773382;0,4845678;0,5110383;0,4497356;0,488077;0,4979619;0,5631329;0,4209763;0,5577786;0,4985611;0,5158187
essai3;0,4793696;0,4655759;0,4570843;0,6217045;0,4342096;0,4366235;0,5293551;0,4527863;0,4747179;0,5763544;0,5798957;0,5360077
essai4;0,4152052;0,4505437;0,4057969;0,4772584;0,5548643;0,4542666;0,4779539;0,468638;0,5190877;0,5122744;0,5150767;0,2788658
essai5;0,5117661;0,4357384;0,58073;0,5091367;0,5481188;0,4229244;0,4803863;0,5006868;0,4065643;0,5122542;0,4689242;0,5506798
essai6;0,5592873;0,5626494;0,4683125;0,5916511;0,465475;0,5511937;0,5778741;0,4057492;0,4884141;0,7182273;0,4670386;0,4870757
essai7;0,5905856;0,4345633;0,6293003;0,4644962;0,4678866;0,4542249;0,4829493;0,4540987;0,5836911;0,480363;0,5144263;0,5012848
essai8;0,4627698;0,5001389;0,434404;0,4624914;0,4683462;0,5316551;0,4821138;0,4536775;0,441375;0,5425629;0,4499257;0,5643509
essai9;0,4451659;0,452266;0,5192623;0,4958529;0,4695833;0,484512;0,5141682;0,4381152;0,4569583;0,5903312;0,4513371;0,4051197
moy;0,49754781;0,49091895;0,49009334;0,51212574;0,49201331;0,48561585;0,51022256;0,46555853;0,47979976;0,55281104;0,48623614;0,47168623
ET;0,049227419;0,04933663;0,069529894;0,050740384;0,046850697;0,049217303;0,052828945;0,04082544;0,049341137;0,063560657;0,03928299;0,081397227
CV;0,098940077;0,100498523;0,141870718;0,099077981;0,095222417;0,101350282;0,103540983;0,087691315;0,102836935;0,114977186;0,080789942;0,172566469
;;;;;;;;;;;;
moy;0,494552438;;;;;;;;;;;
CV droite gauche;0,110400472;;;;;;;;;;;
CV haut bas;;;;;;;;;;;;
