Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,666666667;0,75;0,683333333;0,666666667;0,783333333;0,7;0,666666667;0,65;0,683333333;0,75;0,766666667;0,7;[];[];[];[];[];[];[];[];[];[];[];[]
Essai1;0,633333333;0,7;0,7;0,683333333;0,65;0,683333333;0,7;0,766666667;0,7;0,666666667;0,65;0,7;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,683333333;0,65;0,633333333;0,65;0,7;0,666666667;0,683333333;0,633333333;0,716666667;0,633333333;0,65;0,633333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,65;0,616666667;0,683333333;0,816666667;0,616666667;0,683333333;0,783333333;0,616666667;0,683333333;0,666666667;0,666666667;0,716666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai4;0,716666667;0,633333333;0,7;0,7;0,666666667;0,633333333;0,666666667;0,65;0,65;0,683333333;0,733333333;0,733333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai5;0,616666667;0,616666667;0,733333333;0,683333333;0,683333333;0,75;0,683333333;0,733333333;0,716666667;0,633333333;0,666666667;0,716666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai6;0,75;0,633333333;0,683333333;0,733333333;0,716666667;0,733333333;0,733333333;0,7;0,666666667;0,733333333;0,7;0,666666667;[];[];[];[];[];[];[];[];[];[];[];[]
;;;;;;;;;;;;;;;;;;;;;;;;
moy;0,673809524;0,657142857;0,688095238;0,704761905;0,688095238;0,692857143;0,702380952;0,678571429;0,688095238;0,680952381;0,690476191;0,695238095;;;;;;;;;;;;
ET;0,043513493;0,04616838;0,027766438;0,051727526;0,049372479;0,036576885;0,039267672;0,051727526;0,02308419;0,042190584;0,041649656;0,031765867;;;;;;;;;;;;
CV;0,064578328;0,07025623;0,040352608;0,073397166;0,071752392;0,05279138;0,055906517;0,076230039;0,033547958;0,0619582;0,060320192;0,04569063;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
moy;0,69;;;;;;;;;;;;;;;;;;;;;;;
CV;0,06;;;;;;;;;;;;;;;;;;;;;;;
