Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8
essai0;0,3840621;0,3530333;0,291624;0,3813491;0,3957092;0,3091769;0,3694224;0,3269708;0,3271691;0,3510739;0,3535966;0,2609107
essai1;0,384349;0,3387221;0,3591431;0,4138532;0,4012228;0,342672;0,3382579;0,3399858;0,328973;0,3523196;0,2909868;0,3252415
essai2;0,4293863;0,3371992;0,3072034;0,3976502;0,3375833;0,3392232;0,3852343;0,3249445;0,3112515;0,3491874;0,3080552;0,3268416
essai3;0,3332157;0,3562632;0,3236379;0,3813638;0,3093981;0,3099762;0,3377804;0,3098179;0,2797066;0,3817851;0,3534793;0,3428978
essai4;0,3974122;0,3223164;0,2795318;0,3659489;0,2928651;0,260338;0,3057663;0,3263545;0,3287206;0,349628;0,3236624;0,3106635
essai5;0,4310916;0,3393347;0,2762065;0,3507737;0,3534687;0,3252862;0,3057233;0,3430243;0,3123937;0,3184806;0,3221904;0,2947887
essai6;0,3335785;0,3701818;0,2953307;0,3676297;0,3402568;0,3076555;0,3864942;0,3885491;0,3263174;0,3520792;0,338156;0,278403
essai7;0,3653819;0,3692747;0,3417116;0,3487955;0,3211382;0,3249081;0,3688832;0,293783;0,2809747;0,3351752;0,3219422;0,325634
essai8;0,3335139;0,3392313;0,3560457;0,4125542;0,3368674;0,372093;0,4009;0,2937298;0,3122853;0,4167489;0,3707157;0,3092674
essai9;0,352477;0,2929335;0,3242554;0,3833478;0,3543691;0,2949223;0,3218998;0,2938651;0,3271474;0,3492092;0,2907496;0,3083934
moy;0,37444682;0,34184902;0,31546901;0,38032661;0,34428787;0,31862514;0,35203618;0,32410248;0,31349393;0,35556871;0,32735342;0,30830416
ET;0,035433695;0,021694689;0,028743665;0,021701431;0,032535253;0,028616098;0,032939794;0,027816917;0,017933504;0,025260901;0,025441311;0,0233601
CV;0,094629446;0,063462778;0,091114069;0,057059985;0,094500144;0,089811174;0,093569343;0,085827535;0,057205269;0,071043656;0,077718176;0,075769656
;;;;;;;;;;;;
moy;0,34;;;;;;;;;;;
CV DG;0,08;;;;;;;;;;;
CV HB;0,08;;;;;;;;;;;
