Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,6;0,6;0,8;0,566666667;0,633333333;0,566666667;0,583333333;0,583333333;0,566666667;0,566666667;0,633333333;0,516666667;[];[];[];[];[];[];[];[];[];[];[];0,016666667
Essai1;0,533333333;0,533333333;0,583333333;0,616666667;0,566666667;0,533333333;0,55;0,65;0,516666667;0,566666667;0,55;0,55;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,55;0,533333333;0,566666667;0,666666667;0,55;0,6;0,766666667;0,6;0,55;0,583333333;0,516666667;0,566666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,55;0,633333333;0,516666667;0,6;0,516666667;0,5;0,533333333;0,533333333;0,6;0,533333333;0,55;0,533333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai4;0,633333333;0,6;0,616666667;0,616666667;0,516666667;0,6;0,633333333;0,466666667;0,55;0,516666667;0,516666667;0,7;[];[];[];0,566666667;[];[];[];[];[];[];[];[]
Essai5;0,583333333;0,516666667;0,616666667;0,6;0,516666667;0,55;0,6;0,516666667;0,533333333;0,666666667;0,5;0,516666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai6;0,566666667;0,5;0,516666667;0,666666667;0,566666667;0,5;0,616666667;0,583333333;0,5;0,533333333;0,566666667;0,533333333;[];[];[];[];[];0,516666667;[];[];[];[];[];[]
moy;0,573809524;0,55952381;0,602380952;0,619047619;0,552380952;0,55;0,611904762;0,561904762;0,545238095;0,566666667;0,547619048;0,55952381;;;;0,566666667;;0,516666667;;;;;;0,016666667
ET;0,031943828;0,047020042;0,089277777;0,033839691;0,039267673;0,038832158;0,071110402;0,056142029;0,030491068;0,046291005;0,041239305;0,059666496;;;;;;;;;;;;
CV;0,055669742;0,08403582;0,148208168;0,054664117;0,071088028;0,070603924;0,116211553;0,099913781;0,055922482;0,081690009;0,075306557;0,106637992;;;;;;;;;;;;
