Essai,-35/-7,-35/-4,-35/-2,-35/-1,-35/1,-35/2,-35/4,-35/7,-25/-7,-25/-4,-25/-2,-25/-1,-25/1,-25/2,-25/4,-25/7,-15/-7,-15/-4,-15/-2,-15/-1,-15/1,-15/2,-15/4,-15/7,-5/-7,-5/-4,-5/-2,-5/-1,-5/1,-5/2,-5/4,-5/7,5/-7,5/-4,5/-2,5/-1,5/1,5/2,5/4,5/7,15/-7,15/-4,15/-2,15/-1,15/1,15/2,15/4,15/7,25/-7,25/-4,25/-2,25/-1,25/1,25/2,25/4,25/7,35/-7,35/-4,35/-2,35/-1,35/1,35/2,35/4,35/7
Essai1,left ,left ,left ,left ,left ,right,right,right,left ,left ,right,right,right,right,right,right,left ,left ,right,left ,left ,left ,right,left ,left ,left ,left ,right,left ,right,right,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,left ,left ,right,left ,right,right
Essai2,left ,right,left ,left ,right,left ,right,right,left ,left ,left ,right,right,left ,right,right,left ,left ,left ,right,right,right,right,right,left ,right,right,right,right,right,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,left ,left ,left ,left ,left ,right,left ,left ,left ,left ,right,left ,right,right,left ,right,left ,left ,right,right,right,right
Essai3,left ,right,left ,right,right,right,right,right,left ,left ,left ,left ,left ,right,left ,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,right,left ,left ,left ,right,right,left ,left ,left ,left ,right,left ,right,right,left ,right,right,right,right,left ,right,right,left ,left ,right,right,right,right,right,right
Essai4,right,left ,right,right,right,right,left ,right,left ,left ,right,left ,right,right,right,left ,left ,left ,left ,left ,left ,right,left ,right,left ,left ,left ,left ,right,right,right,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,right,left ,right,left ,right,right
Essai5,left ,left ,right,left ,left ,right,right,right,left ,left ,left ,right,left ,right,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,left ,left ,left ,right,left ,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,right,right,left ,right,left ,left ,left ,left ,left ,right,left ,right
Essai6,left ,left ,left ,right,right,left ,right,right,left ,left ,right,left ,left ,left ,right,right,left ,left ,left ,left ,right,right,left ,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,left ,right,left ,left ,left ,left ,left ,left ,right,right,right,left ,left ,left ,left ,left ,right,right,right
Essai7,left ,left ,right,left ,left ,right,right,right,left ,left ,right,left ,right,right,right,right,left ,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,left ,right,left ,right,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,right,right,left ,left ,left ,left ,left ,right,left ,left ,right,left ,left ,left ,left ,right,left ,right,left 
Essai8,left ,left ,left ,left ,left ,left ,left ,right,left ,left ,left ,left ,left ,left ,left ,right,left ,right,left ,left ,left ,left ,right,right,left ,left ,left ,right,left ,right,left ,right,left ,left ,left ,left ,right,left ,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,right,left ,left ,left ,right,right,left ,left ,left ,left ,left ,right,right,right
Essai9,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,right,left ,right,right,left ,right,left ,left ,left ,left ,right,left ,right,right,left ,left ,left ,left ,right,left ,right,right,left ,left ,left ,left ,left ,right,right,right,left ,left ,right,left ,left ,left ,right,right,left ,left ,left ,left ,left ,left ,right,left 
Essai10,left ,left ,right,left ,right,left ,right,right,left ,left ,left ,right,right,right,left ,right,left ,left ,left ,left ,right,left ,right,right,left ,left ,left ,left ,right,right,right,right,left ,left ,left ,left ,right,right,right,right,left ,left ,left ,left ,right,right,right,right,left ,left ,right,left ,right,right,right,right,left ,left ,left ,left ,right,right,left ,right
