Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,566666667;0,5;0,5;0,533333333;0,5;0,533333333;0,7;0,5;0,483333333;0,466666667;0,483333333;0,483333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai1;0,5;0,466666667;0,5;0,683333333;0,516666667;0,533333333;0,55;0,55;0,483333333;0,516666667;0,566666667;0,516666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,55;0,466666667;0,533333333;0,6;0,516666667;0,483333333;0,55;0,616666667;0,516666667;0,55;0,533333333;0,5;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,5;0,55;0,566666667;0,55;0,533333333;0,533333333;0,583333333;0,5;0,533333333;0,483333333;0,483333333;0,483333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai4;0,533333333;0,583333333;0,55;0,583333333;0,55;0,55;0,533333333;0,533333333;0,516666667;0,533333333;0,483333333;0,533333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai5;0,566666667;0,516666667;0,45;0,6;0,55;0,566666667;0,483333333;0,816666667;0,566666667;0,55;0,55;0,55;[];[];[];[];[];[];[];[];[];[];[];[]
Essai6;0,55;0,516666667;0,583333333;0,566666667;0,566666667;0,583333333;0,583333333;0,566666667;0,566666667;0,55;0,516666667;0,566666667;[];[];[];[];[];[];[];[];[];[];[];[]
moy;0,538095238;0,514285714;0,526190476;0,588095238;0,533333333;0,54047619;0,569047619;0,583333333;0,523809524;0,521428571;0,516666667;0,519047619;;;;;;;;;;;;
ET;0,026298479;0,039267673;0,042591771;0,045175395;0,021821789;0,029354352;0,061996269;0,102353263;0,031943828;0,031765867;0,032120804;0,03011693;;;;;;;;;;;;
CV;0,048873279;0,076353808;0,080943637;0,076816461;0,040915854;0,054312018;0,108947419;0,175462737;0,060983672;0,06092084;0,062169298;0,058023443;;;;;;;;;;;;
CV;0,08;;;;;;;;;;;;;;;;;;;;;;;
moy;0,54;;;;;;;;;;;;;;;;;;;;;;;
