Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8
essai0;0,39;0,35;0,36;0,46;0,32;0,28;0,32;0,34;0,39;0,40;0,40;0,33
essai1;0,42;0,42;0,36;0,40;0,40;0,34;0,38;0,36;0,36;0,35;0,43;0,32
essai2;0,37;0,43;0,50;0,38;0,31;0,39;0,34;0,41;0,34;0,42;0,31;0,39
essai3;0,37;0,34;0,29;0,43;0,25;0,47;0,40;0,32;0,31;0,43;0,43;0,30
essai4;0,32;0,19;0,39;0,32;0,34;0,37;0,47;0,28;0,17;0,45;0,44;0,49
essai5;0,35;0,50;0,28;0,33;0,36;0,31;0,38;0,39;0,38;0,30;0,39;0,38
essai6;0,36;0,34;0,25;0,40;0,34;0,26;0,46;0,34;0,38;0,40;0,40;0,34
essai7;0,38;0,31;0,34;0,38;0,29;0,39;0,27;0,39;0,39;0,45;0,37;0,31
essai8;0,45;0,29;0,25;0,42;0,35;0,57;0,45;0,28;0,33;0,38;0,42;0,36
essai9;0,35;0,36;0,39;0,41;0,47;0,53;0,39;0,37;0,33;0,40;0,40;0,28
moy;0,38;0,35;0,34;0,39;0,34;0,39;0,39;0,35;0,34;0,40;0,40;0,35
ET;0,03;0,08;0,07;0,04;0,06;0,10;0,06;0,04;0,06;0,04;0,04;0,06
CV;0,09;0,23;0,22;0,10;0,17;0,25;0,16;0,12;0,18;0,10;0,09;0,16
;;;;;;;;;;;;
moy;0,37;;;;;;;;;;;
CV  HB;0,18;;;;;;;;;;;
CV DG;0,14;;;;;;;;;;;
