Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,65;0,683333333;0,85;0,65;0,666666667;0,666666667;0,783333333;0,683333333;0,566666667;0,55;0,583333333;0,7;[];[];[];[];[];[];[];[];[];[];[];0,016666667
Essai1;0,666666667;0,6;0,583333333;0,633333333;0,666666667;0,583333333;0,583333333;0,65;0,65;0,6;0,633333333;0,633333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,666666667;0,016666667;0,55;0,766666667;0,583333333;0,65;0,533333333;0,583333333;0,616666667;0,733333333;0,633333333;0,633333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,65;0,6;0,6;[];0,55;0,616666667;0,766666667;0,55;0,633333333;0,716666667;0,633333333;0,533333333;[];[];[];[];[];[];[];[];0,783333333;[];[];[]
Essai4;0,683333333;0,65;0,583333333;0,833333333;0,65;0,583333333;0,7;0,633333333;0,65;0,633333333;0,733333333;0,666666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai5;0,583333333;0,683333333;0,716666667;0,7;0,533333333;0,666666667;0,616666667;0,666666667;0,583333333;0,616666667;0,583333333;0,566666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai6;0,7;0,533333333;0,583333333;0,6;0,5;0,766666667;0,766666667;0,7;0,716666667;0,683333333;0,616666667;0,716666667;[];[];[];[];[];[];[];[];[];[];[];[]
moy;0,657142857;0,538095238;0,638095238;0,697222222;0,592857143;0,647619048;0,678571429;0,638095238;0,630952381;0,647619048;0,630952381;0,635714286;;;;;;;;;0,783333333;;;0,016666667
ET;0,034338584;0,218529408;0,099488488;0,080746899;0,063531734;0,058708705;0,093313895;0,05016978;0,045798533;0,061352851;0,046656947;0,061996269;;;;;;;;;;;;
CV;0,052254366;0,406116598;0,155914794;0,115812286;0,10716196;0,090653147;0,137515214;0,078624282;0,072586355;0,09473602;0,07394686;0,097522221;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
moy;0,64;;;;;;;;;;;;;;;;;;;;;;;
CV;0,12;;;;;;;;;;;;;;;;;;;;;;;
