Essai;400;600;800;1000;1200;1400
Essai0;0,75;0,46;0,22;1,11;1,10;1,92
Essai1;0,21;0,67;0,90;0,78;0,98;1,36
Essai2;0,27;1,34;0,96;0,91;1,84;0,98
Essai3;0,34;0,72;0,72;0,72;1,54;1,73
Essai4;0,35;0,51;0,66;1,01;1,14;1,52
Essai5;0,35;0,64;1,22;1,02;1,73;1,74
Essai6;0,27;0,48;0,74;1,18;1,52;1,46
Essai7;0,45;0,62;1,12;1,01;1,33;1,30
Essai8;0,34;0,90;0,83;1,18;0,98;0,62
Essai9;0,38;0,99;0,70;0,98;0,83;1,60
moy;0,37;0,73;0,81;0,99;1,30;1,42
ET;0,141605903;0,260323491;0,261357127;0,14581826;0,327790852;0,366382236
CV;0,381407676;0,354487811;0,32408482;0,147191001;0,252634259;0,257557651
;;;;;;
diff;0,03;-0,13;-0,01;0,01;-0,10;-0,02
moy;0,04;-0,04;;;;
;-0,03;0,13;0,01;-0,01;0,10;0,02
CV;0,29;;;;;
