Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8
essai0;0,4589383;0,3081363;0,3559102;0,3989043;0,3231043;0,3888883;0,5772452;0,3408385;0,3127807;0,5909131;0,320919;0,3249699
essai1;0,3836376;0,4488857;0,3410685;0,4155479;0,3876295;0,5330535;0,5121594;0,3093774;0,4393313;0,3662477;0,3066102;0,3739418
essai2;0,7683514;0,4352923;0,3246478;0,4167615;0,3959065;0,1344478;0,4492257;0,3078669;0,3125744;0,4318242;0,3567761;0,3104157
essai3;0,3524254;0,3524515;0,3441142;0,189179;0,3547616;0,3085254;0,4338889;0,3412432;0,344565;0,4638904;0,3714957;0,3242164
essai4;0,4319492;0,4047152;0,340696;0,3650983;0,4023844;0,3733105;0,3861055;0,3554607;0,3443553;0,3660897;0,3540355;0,3564385
essai5;0,3354846;0,3556083;0,5030106;0,3327052;0,3226862;0,3260367;0,3564024;0,4217713;0,3439375;0,4306878;0,3860047;0,3872564
essai6;0,4476141;0,4677166;0,3424781;0,3827769;0,4205765;0,3731688;0,4324194;0,3889144;0,3737959;0,4796327;0,3536203;0,0863567
essai7;0,4791519;0,4186798;0,0850645;0,3823145;0,3390851;0,4214547;0,4491384;0,5026911;0,3434626;0,398602;0,3541751;0,2944875
essai8;0,4462232;0,4207284;0,4541838;0,3676119;0,515926;0,3418294;0,4503402;0,3516188;0,343524;0,4148983;0,5312751;0,3254209
essai9;0,7033436;0,3705948;0,4380223;0,3685379;0,3757021;0,3575961;0,4001996;0,3567519;0,5358656;0,3694456;0,0831146;0,3420589
moy;0,48071193;0,39828089;0,3529196;0,36194374;0,38377622;0,35583112;0,44471247;0,36765342;0,36941923;0,43122315;0,34180263;0,31255627
ET;0,135798538;0,047462896;0,106327435;0,062355091;0,054445835;0,094735634;0,059723323;0,055251811;0,065030813;0,065210002;0,103921139;0,080060734
CV;0,282494628;0,119169404;0,301279483;0,172278408;0,141868703;0,26623763;0,134296487;0,150282325;0,176035267;0,151221013;0,304038442;0,256148226
;;;;;;;;;;;;
moy;0,38;;;;;;;;;;;
CV HB;0,21;;;;;;;;;;;
CV DG;0,20;;;;;;;;;;;
