Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,616666667;0,633333333;0,633333333;0,683333333;0,583333333;0,583333333;0,716666667;0,666666667;0,666666667;0,616666667;0,616666667;0,75;[];[];[];[];[];[];[];[];[];[];[];[]
Essai1;0,583333333;0,6;0,616666667;0,733333333;0,616666667;0,55;0,666666667;0,783333333;0,666666667;0,7;0,616666667;0,65;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,583333333;0,666666667;0,916666667;0,666666667;0,666666667;0,666666667;0,7;0,833333333;0,6;0,616666667;0,716666667;0,533333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,55;0,683333333;0,6;0,65;0,583333333;0,6;0,666666667;0,633333333;0,666666667;0,716666667;0,633333333;0,533333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai4;0,65;0,6;0,933333333;0,65;0,616666667;0,633333333;0,666666667;0,683333333;0,616666667;0,616666667;0,666666667;0,55;[];[];[];[];[];[];[];[];[];[];[];[]
Essai5;0,65;0,716666667;0,65;0,666666667;0,8;0,666666667;0,7;[];0,716666667;0,65;0,716666667;0,716666667;[];[];[];[];[];[];;[];[];0,6;[];[]
Essai6;0,616666667;0,616666667;0,633333333;0,716666667;0,566666667;0,633333333;0,633333333;0,666666667;0,783333333;0,6;0,633333333;0,016666667;[];[];[];0,016666667;[];[];[];[];[];[];[];[]
moy;0,607142857;0,645238095;0,711904762;0,680952381;0,633333333;0,619047619;0,678571429;0,711111111;0,673809524;0,645238095;0,657142857;0,535714286;;;;;;;;;;;;
ET;0,034338584;0,041513323;0,135609818;0,03011693;0,074535599;0,040265558;0,026298479;0,0717936;0,056944099;0,042458463;0,040685732;0,227203246;;;;;;;;;;;;
CV;0,056557667;0,064337992;0,190488707;0,04422766;0,117687788;0,065044364;0,038755653;0,10095975;0,084510677;0,065802784;0,061913071;0,424112727;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
moy;0,65;;;;;;;;;;;;;;;;;;;;;;;
CV;0,11;;;;;;;;;;;;;;;;;;;;;;;
