Essai;Haut 0,2;Haut 0,5;Haut 0,8;Bas 0,2;Bas 0,5;Bas 0,8;Gauche 0,2;Gauche 0,5;Gauche 0,8;Droite 0,2;Droite 0,5;Droite 0,8
essai0;0,4944473;0,3220548;0,3078065;0,382146;0,3395416;0,3410866;0,3372742;0,3887718;0,3297683;0,5113861;0,3706653;0,3085944
essai1;0,4318738;0,3539173;0,4213137;0,3669038;0,3229966;0,3401711;0,4494518;0,3576965;0,3281856;0,3336132;0,3544755;0,3406211
essai2;0,4300609;0,356644;0,3417278;0,3182134;0,3535058;0,3724689;0,3694989;0,23114;0,2626596;0,3650378;0,3683196;0,4557748
essai3;0,3980961;0,3404919;0,2924047;0,3504879;0,3380776;0,3405956;0,3672596;0,3415171;0,3113753;0,364929;0,4201398;0,3406664
essai4;0,351401;0,3538531;0,372156;0,3150556;0,3207988;0,3707744;0,3538017;0,2786992;0,2658778;0,3675634;0,4007096;0,3428933
essai5;0,4315368;0,4200495;0,3592525;0,3190036;0,3233586;0,2785856;0,3707938;0,3745771;0,3267884;0,3838839;0,3393629;0,343384
essai6;0,3816709;0,3234832;0,3261641;0,3667365;0,2930925;0,3088252;0,3703369;0,2933103;0,295351;0,3834664;0,7686871;0,4057291
essai7;0,3350284;0,3707478;0,3570335;0,4610885;0,3066175;0,3096929;0,3536174;0,4382315;0,3260937;0,3516391;0,3682056;0,3885899
essai8;0,3352672;0,3236058;0,3579354;0,3671141;0,386694;0,3406625;0,3204559;0,3353764;0,3099156;0,3633132;0,3377699;0,2920614
essai9;0,3832851;0,3546285;0,3246531;0,3188146;0,3386867;0,3907259;0,3355385;0,3393113;0,2969839;0,3304198;0,2738884;0,3255927
;0,39726675;0,35194759;0,34604473;0,3565564;0,33233697;0,33935887;0,36280287;0,33786312;0,30529992;0,37552519;0,40022237;0,35439071
;0,048116762;0,027688197;0,034633358;0,042388608;0,024557258;0,03199128;0,033237135;0,055949589;0,023696507;0,048360688;0,128349879;0,046397
;0,121119531;0,078671364;0,100083472;0,118883318;0,073892646;0,094269763;0,091612106;0,16559839;0,077617141;0,128781476;0,320696414;0,130920474
;;;;;;;;;;;;
Moy;0,35;;;;;;;;;;;
CV HB;0,10;;;;;;;;;;;
CV DG;0,15;;;;;;;;;;;
