Essai;GD2;GD5;GD8;GG2;GG5;GG8;GH2;GH5;GH8;GB2;GB5;GB8;NGD2;NGD5;NGD8;NGG2;NGG5;NGG8;NGH2;NGH5;NGH8;NGB2;NGB5;NGB8
Essai0;0,516666667;0,45;0,516666667;0,666666667;0,516666667;0,583333333;0,516666667;0,6;0,466666667;0,666666667;0,45;0,466666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai1;0,466666667;0,466666667;0,5;0,516666667;0,45;0,533333333;0,5;0,7;0,6;0,583333333;0,483333333;0,5;[];[];[];[];[];[];[];[];[];[];[];[]
Essai2;0,466666667;0,483333333;0,55;0,65;0,45;0,533333333;0,583333333;0,45;0,483333333;0,533333333;0,566666667;0,533333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai3;0,483333333;0,45;0,55;0,533333333;0,483333333;0,583333333;0,5;0,516666667;0,55;0,583333333;0,5;0,5;[];[];[];[];[];[];[];[];[];[];[];[]
Essai4;0,466666667;0,516666667;0,5;0,5;0,6;0,5;0,516666667;0,533333333;0,516666667;0,516666667;0,483333333;0,483333333;[];[];[];[];[];[];[];[];[];[];[];[]
Essai5;0,5;0,533333333;0,483333333;0,583333333;0,466666667;0,466666667;0,483333333;0,566666667;0,516666667;0,5;0,45;0,516666667;[];[];[];[];[];[];[];[];[];[];[];[]
Essai6;0,466666667;0,55;0,5;0,55;0,533333333;0,533333333;0,6;0,566666667;0,45;0,533333333;0,45;0,483333333;[];[];[];[];[];[];[];[];[];[];[];[]
;0,480952381;0,492857143;0,514285714;0,571428571;0,5;0,533333333;0,528571429;0,561904762;0,511904762;0,55952381;0,483333333;0,497619048;;;;;;;;;;;;
;0,018747638;0,037646163;0,024281045;0,06023386;0,050395263;0,038832158;0,041513323;0,071666271;0,047737947;0,052596957;0,038832158;0,020756662;;;;;;;;;;;;
CV;0,038980237;0,076383518;0,047213144;0,105409255;0,100790526;0,072810297;0,07853872;0,127541669;0,093255524;0,094003072;0,080342396;0,041711952;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
moy;0,52;;;;;;;;;;;;;;;;;;;;;;;
CV;0,08;;;;;;;;;;;;;;;;;;;;;;;
