Essai,Cond_0 -7/-45,Cond_1 -4/-40,Cond_2 -2/-35,Cond_3 -1/-30,Cond_4 0/-25,Cond_5 1/-20,Cond_6 2/-15,Cond_7 4/-10,Cond_8 7/-5,Cond_9 -7/0,Cond_10 -4/5,Cond_11 -2/10,Cond_12 -1/15,Cond_13 0/20,Cond_14 1/25,Cond_15 2/30,Cond_16 4/35,Cond_17 7/40
Essai1,left ,left ,left ,left ,left ,right,right,right,right,left ,left ,left ,left ,left ,right,right,right,right
Essai2,left ,left ,left ,right,left ,right,right,right,right,left ,left ,left ,left ,left ,left ,right,right,right
Essai3,left ,left ,right,left ,right,right,right,right,right,left ,left ,left ,left ,left ,right,left ,right,right
Essai4,left ,left ,left ,right,right,right,right,right,right,left ,left ,left ,left ,left ,right,right,right,right
Essai5,left ,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,right,right,left ,right,right
Essai6,left ,left ,left ,left ,left ,right,right,right,right,left ,left ,left ,left ,left ,left ,right,right,right
Essai7,left ,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,right,right,right,right
Essai8,left ,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,left ,left ,right,right
Essai9,left ,left ,left ,left ,right,left ,right,left ,right,left ,left ,left ,left ,left ,left ,right,right,right
Essai10,left ,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,right,right,right,right
Essai11,left ,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,right,right,left ,right,right
Essai12,left ,right,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,left ,right,right,right
Essai13,left ,left ,left ,left ,right,right,right,right,right,left ,left ,left ,left ,left ,left ,right,right,right
