,MDDV,MDDF,MDGV,MDGF,VMDV,VMDF,VMGV,VMGF,RTDV,RTDF,RTGV,RTGF
Essai0,1.4333333333333333,1.3833333333333333,1.05,1.05,4800.0,2760.0,2460.0,4320.0,0.5,0.5333333333333333,0.48333333333333334,0.4666666666666667
Essai1,1.2,1.0166666666666666,1.0666666666666667,0.9333333333333333,3300.0,2580.0,3600.0,3660.0,0.55,0.48333333333333334,0.43333333333333335,0.4
Essai2,1.1333333333333333,1.05,0.9333333333333333,1.3,2940.0,1860.0,1920.0,2820.0,0.5,0.4666666666666667,0.48333333333333334,0.5166666666666667
Essai3,0.8333333333333334,0.9166666666666666,1.0666666666666667,0.9833333333333333,4020.0,1920.0,3780.0,7200.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.4
Essai4,0.9333333333333333,1.05,0.8,0.9,3120.0,4260.0,3420.0,3900.0,0.35,0.6166666666666667,0.4,0.5333333333333333
Essai5,1.05,0.8833333333333333,0.9666666666666667,1.3166666666666667,3660.0,3600.0,2460.0,2280.0,0.5,0.45,0.5333333333333333,0.6166666666666667
Essai6,0.8833333333333333,0.8166666666666667,1.0,1.0833333333333333,7140.0,2700.0,2100.0,2460.0,0.43333333333333335,0.4,0.5,0.5166666666666667
Essai7,0.8333333333333334,0.8833333333333333,0.8833333333333333,0.9333333333333333,4080.0,2760.0,3960.0,3480.0,0.45,0.45,0.48333333333333334,0.45
Essai8,1.05,1.0,1.0166666666666666,1.2,7020.0,3960.0,3900.0,2880.0,0.35,0.5333333333333333,0.43333333333333335,0.5
Essai9,1.05,0.95,1.1833333333333333,0.8833333333333333,3960.0,4800.0,2220.0,4020.0,0.55,0.48333333333333334,0.5,0.43333333333333335
Essai10,1.0666666666666667,0.9,0.85,1.2,2640.0,2340.0,2580.0,3180.0,0.4166666666666667,0.4166666666666667,0.4,0.5333333333333333
Essai11,0.9,1.1166666666666667,1.0333333333333334,0.7833333333333333,3360.0,3900.0,4140.0,4020.0,0.45,0.48333333333333334,0.5,0.4666666666666667
Essai12,0.8833333333333333,0.85,0.9,1.6,5460.0,3120.0,2280.0,2700.0,0.45,0.4666666666666667,0.4666666666666667,0.45
Essai13,1.7666666666666666,1.4,1.0333333333333334,1.15,6540.0,2520.0,6180.0,3480.0,0.6,0.9833333333333333,0.5833333333333334,0.5333333333333333
Essai14,1.0666666666666667,1.0833333333333333,1.0166666666666666,1.0833333333333333,3840.0,3180.0,4560.0,4260.0,0.43333333333333335,0.55,0.5333333333333333,0.4666666666666667
Essai15,0.95,0.9833333333333333,0.9833333333333333,1.3666666666666667,4980.0,2520.0,4740.0,6360.0,0.48333333333333334,0.43333333333333335,0.48333333333333334,0.45
Essai16,0.9666666666666667,1.0666666666666667,0.8833333333333333,0.85,5340.0,3000.0,3180.0,3660.0,0.4,0.5333333333333333,0.4666666666666667,0.45
Essai17,0.9166666666666666,1.0666666666666667,0.8666666666666667,1.0166666666666666,2040.0,4200.0,2760.0,6180.0,0.45,0.48333333333333334,0.43333333333333335,0.5333333333333333
Essai18,0.8333333333333334,1.0666666666666667,1.05,1.4166666666666667,4020.0,3000.0,6840.0,2100.0,0.4,0.6166666666666667,0.45,0.55
Essai19,0.7333333333333333,1.0166666666666666,0.8166666666666667,1.05,8760.0,1860.0,6120.0,4200.0,0.4,0.5,0.4166666666666667,0.48333333333333334
Essai20,0.9333333333333333,,1.25,,5700.0,,5280.0,,0.38333333333333336,,0.36666666666666664,
Essai21,1.0833333333333333,,0.8333333333333334,,8340.0,,3420.0,,0.5666666666666667,,0.48333333333333334,
Essai22,0.9833333333333333,,1.1833333333333333,,5640.0,,2400.0,,0.38333333333333336,,0.5166666666666667,
Essai23,1.0166666666666666,,0.8666666666666667,,6780.0,,3540.0,,0.5166666666666667,,0.48333333333333334,
Essai24,0.85,,0.8666666666666667,,4560.0,,5400.0,,0.4666666666666667,,0.48333333333333334,
Essai25,1.0333333333333334,,1.05,,3600.0,,3480.0,,0.6,,0.5833333333333334,
Essai26,0.9666666666666667,,0.9166666666666666,,6300.0,,4860.0,,0.5333333333333333,,0.4,
Essai27,1.0,,0.9333333333333333,,7740.0,,4260.0,,0.4,,0.38333333333333336,
Essai28,1.0333333333333334,,0.9833333333333333,,3840.0,,3540.0,,0.43333333333333335,,0.4,
Essai29,0.9833333333333333,,0.9166666666666666,,2340.0,,3540.0,,0.36666666666666664,,0.4166666666666667,
Essai30,1.0666666666666667,,0.9833333333333333,,3420.0,,5400.0,,0.5,,0.4,
Essai31,0.7666666666666667,,0.8833333333333333,,4740.0,,3420.0,,0.38333333333333336,,0.43333333333333335,
Essai32,1.0333333333333334,,1.1666666666666667,,7080.0,,2460.0,,0.5,,0.43333333333333335,
Essai33,1.1166666666666667,,1.2,,9360.0,,4080.0,,0.45,,0.6166666666666667,
Essai34,1.1,,1.0333333333333334,,2340.0,,1800.0,,0.6333333333333333,,0.48333333333333334,
Essai35,1.5666666666666667,,0.8833333333333333,,4200.0,,7260.0,,0.38333333333333336,,0.43333333333333335,
Essai36,1.0666666666666667,,0.8333333333333334,,7740.0,,2220.0,,0.36666666666666664,,0.36666666666666664,
