Essai,GO,Rest
Essai1,sansclique,0.75
Essai2,0.8,1.0833333333333333
Essai3,sansclique,sansclique
Essai4,sansclique,0.75
Essai5,sansclique,0.8166666666666667
Essai6,0.6333333333333333,1.1666666666666667
Essai7,sansclique,sansclique
Essai8,0.5833333333333334,sansclique
Essai9,0.6,sansclique
Essai10,sansclique,sansclique
Essai11,sansclique,sansclique
Essai12,sansclique,sansclique
Essai13,sansclique,sansclique
Essai14,0.7,0.6666666666666666
Essai15,0.9,sansclique
Essai16,sansclique,0.65
Essai17,sansclique,0.7166666666666667
Essai18,0.7166666666666667,0.6666666666666666
Essai19,sansclique,0.7333333333333333
Essai20,0.7166666666666667,sansclique
Essai21,sansclique,0.7666666666666667
Essai22,sansclique,0.8
Essai23,0.6666666666666666,1.05
Essai24,0.6833333333333333,0.8833333333333333
Essai25,0.55,sansclique
Essai26,sansclique,0.65
Essai27,1.5666666666666667,sansclique
Essai28,1.3833333333333333,sansclique
Essai29,sansclique,sansclique
Essai30,sansclique,0.7333333333333333
