Essai;GO;Vmax GO;Rest;Vmax Rest
Essai1;sansclique;20460.0;0.6166666666666667;8520.0
Essai2;0.7666666666666667;2700.0;0.55;8400.0
Essai3;sansclique;18540.0;sansclique;8400.0
Essai4;sansclique;18540.0;0.5666666666666667;7920.0
Essai5;sansclique;18540.0;0.4666666666666667;6960.0
Essai6;0.65;6960.0;0.38333333333333336;3000.0
Essai7;sansclique;20700.0;sansclique;3360.0
Essai8;0.6333333333333333;4140.0;sansclique;20460.0
Essai9;0.6833333333333333;4140.0;sansclique;18540.0
Essai10;sansclique;14280.0;sansclique;18540.0
Essai11;sansclique;19560.0;sansclique;18540.0
Essai12;sansclique;18240.0;sansclique;18540.0
Essai13;sansclique;22620.0;sansclique;18540.0
Essai14;0.7333333333333333;5580.0;0.5166666666666667;3000.0
Essai15;0.7333333333333333;3000.0;sansclique;19620.0
Essai16;sansclique;9660.0;0.5;3780.0
Essai17;sansclique;6960.0;0.9;4260.0
Essai18;0.6333333333333333;3840.0;0.48333333333333334;9660.0
Essai19;sansclique;20460.0;0.9666666666666667;3120.0
Essai20;0.6666666666666666;4020.0;sansclique;19860.0
Essai21;sansclique;9660.0;0.6666666666666666;5400.0
Essai22;sansclique;4020.0;0.8;5520.0
Essai23;0.7833333333333333;6480.0;0.6833333333333333;2940.0
Essai24;0.5333333333333333;8520.0;0.65;5580.0
Essai25;0.5833333333333334;5880.0;sansclique;20100.0
Essai26;sansclique;20940.0;0.6666666666666666;3000.0
Essai27;0.8166666666666667;5820.0;sansclique;6960.0
Essai28;0.7166666666666667;2160.0;sansclique;6960.0
Essai29;sansclique;19140.0;sansclique;20760.0
Essai30;sansclique;19140.0;0.6;4020.0
